species,trait1,trait2,trait3,trait4
Belminus_costaricensis_TRIA1,0.35,0.5,0.411764706,8.5
Triatoma_platensis,0.625,0.3,0.347826087,23
Triatoma_delpontei,0.6,0.27,0.34,25
Triatoma_infestans_TRIA26,0.525,0.3,0.382978723,23.5
Triatoma_infestans,0.525,0.3,0.382978723,23.5
Triatoma_melanosoma,NA,NA,NA,NA
Triatoma_patagonica,0.5,0.4,0.309859155,17.75
Triatoma_rubrovaria,0.5,0.3,0.333333333,22.5
Triatoma_rubrovaria_TRIA35,0.5,0.3,0.333333333,22.5
Triatoma_circummaculata,0.45,0.375,0.35483871,15.5
Triatoma_pintodiasi,NA,NA,NA,NA
Triatoma_klugi,NA,NA,NA,NA
Triatoma_carcavalloi,NA,NA,NA,NA
Triatoma_petrochii,0.425,0.25,0.363636364,19.25
Triatoma_guazu,NA,NA,NA,NA
Triatoma_williami,0.475,0.25,0.346534653,25.25
Triatoma_guasayana,0.575,0.35,0.347826087,17.25
Triatoma_vandae,NA,NA,NA,NA
Triatoma_matogrossensis,0.4,0.225,0.310679612,25.75
Triatoma_jurbergi,NA,NA,NA,NA
Triatoma_sordida,0.575,0.325,0.41,16.5
Triatoma_garciabesi,0.575,0.325,0.41,16.5
Triatoma_baratai,NA,NA,NA,NA
Triatoma_pseudomaculata,0.65,0.325,0.347222222,18
Triatoma_arthurneivai,0.6,0.35,0.340909091,22
Triatoma_wygodzinskyi,0.6,0.35,0.324675325,19.25
Triatoma_jatai,NA,NA,NA,NA
Triatoma_costalimai,0.45,0.25,0.298076923,26
Triatoma_sherlocki,NA,NA,NA,NA
Triatoma_lenti,0.475,0.225,0.362745098,25.5
Triatoma_melanica,0.525,0.25,0.319148936,23.5
Triatoma_juazeirensis,NA,NA,NA,NA
Triatoma_brasiliensis,0.525,0.25,0.319148936,23.5
Triatoma_maculata,0.65,0.3,0.355263158,19
Triatoma_melanocephala,0.6,0.35,0.375,26
Triatoma_vitticeps,0.6,0.35,0.388429752,30.25
Triatoma_vitticeps_TRIA37,0.6,0.35,0.388429752,30.25
Triatoma_breyeri,0.525,0.375,0.301369863,18.25
Triatoma_eratyrusiformis,0.65,0.325,0.329113924,19.75
Mepraia_spinolai,0.475,0.275,0.2825,20
Mepraia_spinolai_RCW5086,0.475,0.275,0.2825,20
Panstrongylus_rufotuberculatus_TRIA41,0.725,0.3,0.333333333,25.5
Panstrongylus_rufotuberculatus,0.725,0.3,0.333333333,25.5
Panstrongylus_rufotuberculatus_P16,0.725,0.3,0.333333333,25.5
Triatoma_dimidiata_CIM427,0.5,0.35,0.371681416,28.25
